Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,0.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,101.0,129.0,0.0,202.0,205.0,0.0,95.0,330.0,474.0,486.0,1018.0,0.0,66.0,66.0,0.0,295.0
0.0,0.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,0.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,96.0,129.0,0.0,206.0,205.0,0.0,95.0,258.0,475.0,486.0,1017.0,0.0,63.0,66.0,0.0,299.0
0.0,0.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,0.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,0.0,103.0,130.0,0.0,209.0,206.0,0.0,94.0,250.0,475.0,486.0,1017.0,0.0,69.0,67.0,0.0,297.0
0.0,0.0,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,0.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,123.0,157.0,0.0,209.0,206.0,0.0,93.0,252.0,475.0,486.0,1015.0,0.0,76.0,73.0,0.0,297.0
0.0,0.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,431.0,0.0,1032.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,129.0,164.0,0.0,206.0,206.0,0.0,93.0,254.0,475.0,486.0,1015.0,0.0,75.0,79.0,0.0,296.0
0.0,0.0,79.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,431.0,0.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,112.0,150.0,12.0,255.0,205.0,0.0,94.0,263.0,475.0,486.0,1016.0,0.0,77.0,81.0,0.0,296.0
0.0,0.0,69.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,432.0,0.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,0.0,98.0,132.0,7.0,249.0,205.0,0.0,95.0,263.0,475.0,486.0,1016.0,0.0,69.0,77.0,0.0,297.0
0.0,0.0,73.0,0.0,22.0,7.0,0.0,0.0,0.0,0.0,432.0,0.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,84.0,0.0,108.0,131.0,0.0,232.0,205.0,0.0,94.0,308.0,475.0,486.0,1015.0,0.0,69.0,73.0,0.0,295.0
0.0,0.0,67.0,0.0,115.0,120.0,0.0,0.0,180.0,0.0,432.0,0.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,0.0,103.0,132.0,0.0,259.0,205.0,0.0,95.0,363.0,475.0,486.0,1016.0,0.0,71.0,79.0,0.0,296.0
0.0,0.0,64.0,0.0,125.0,13.0,0.0,0.0,5.0,0.0,431.0,0.0,1033.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,95.0,137.0,0.0,251.0,205.0,0.0,94.0,369.0,475.0,486.0,1016.0,0.0,72.0,75.0,0.0,294.0
0.0,0.0,57.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,431.0,0.0,1034.0,0.0,0.0,0.0,0.0,0.0,0.0,94.0,0.0,80.0,118.0,0.0,273.0,205.0,0.0,94.0,379.0,475.0,486.0,1017.0,0.0,66.0,72.0,0.0,293.0
