Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,LANGERLO 1,LANGERLO 2,Marcinelle Energie (Carsid),Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Hard coal,Fossil Hard coal,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
0.0,0.0,0.0,0.0,0.0,2.0,140.0,92.0,2.0,0.0,0.0,1020.0,1034.0,0.0,0.0,0.0,155.0,151.0,156.0,40.0,0.0,0.0,0.0,2.0,2.0,0.0,203.0,345.0,118.0,368.0,477.0,493.0,1029.0,1049.0,0.0,0.0,376.0,0.0
0.0,0.0,0.0,0.0,0.0,42.0,144.0,105.0,0.0,0.0,0.0,1020.0,1034.0,0.0,0.0,0.0,152.0,149.0,157.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,345.0,107.0,363.0,477.0,493.0,1029.0,1049.0,0.0,0.0,375.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1020.0,1035.0,0.0,0.0,0.0,66.0,71.0,96.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,273.0,105.0,364.0,477.0,493.0,1029.0,1049.0,0.0,0.0,375.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1020.0,1036.0,0.0,0.0,0.0,0.0,77.0,47.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,275.0,105.0,325.0,478.0,493.0,1030.0,1049.0,0.0,1.0,376.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,1036.0,0.0,0.0,0.0,0.0,85.0,51.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,241.0,105.0,311.0,478.0,493.0,1029.0,1049.0,0.0,1.0,376.0,0.0
0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,1037.0,0.0,0.0,0.0,0.0,103.0,59.0,40.0,0.0,0.0,0.0,4.0,0.0,0.0,200.0,232.0,105.0,309.0,478.0,493.0,1029.0,1049.0,0.0,0.0,375.0,0.0
0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,1036.0,1.0,0.0,0.0,0.0,82.0,51.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,201.0,228.0,105.0,306.0,478.0,493.0,1029.0,1049.0,4.0,1.0,376.0,0.0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1021.0,1036.0,36.0,0.0,0.0,0.0,146.0,73.0,40.0,0.0,0.0,0.0,1.0,0.0,0.0,201.0,267.0,105.0,319.0,479.0,493.0,1029.0,1049.0,1.0,1.0,375.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1022.0,1036.0,50.0,0.0,6.0,0.0,149.0,75.0,40.0,0.0,0.0,0.0,1.0,2.0,0.0,203.0,262.0,105.0,367.0,479.0,493.0,1029.0,1049.0,0.0,0.0,376.0,0.0
0.0,0.0,2.0,32.0,0.0,116.0,31.0,1.0,0.0,0.0,0.0,1021.0,1037.0,86.0,54.0,54.0,50.0,137.0,75.0,40.0,0.0,0.0,0.0,6.0,38.0,0.0,201.0,299.0,111.0,371.0,478.0,493.0,1029.0,1048.0,0.0,1.0,376.0,0.0
