Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen,Rentel Offshore WP
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Wind Offshore
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
93.0,90.0,68.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,98.0,102.0,0.0,0.0,205.0,0.0,89.0,276.0,456.0,478.0,987.0,0.0,39.0,62.0,0.0,297.0,39.0
104.0,94.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,0.0,98.0,91.0,0.0,0.0,204.0,0.0,89.0,292.0,455.0,476.0,986.0,0.0,38.0,51.0,0.0,295.0,32.0
169.0,112.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0.0,90.0,83.0,0.0,0.0,204.0,0.0,89.0,269.0,455.0,476.0,997.0,0.0,61.0,76.0,0.0,166.0,47.0
212.0,127.0,78.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,83.0,0.0,112.0,115.0,0.0,0.0,158.0,0.0,89.0,305.0,454.0,473.0,1000.0,0.0,78.0,91.0,0.0,155.0,58.0
155.0,110.0,94.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,0.0,122.0,139.0,0.0,0.0,171.0,0.0,89.0,314.0,454.0,474.0,1000.0,0.0,68.0,86.0,0.0,149.0,66.0
114.0,96.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,0.0,117.0,127.0,0.0,0.0,206.0,0.0,89.0,308.0,454.0,474.0,999.0,0.0,54.0,67.0,0.0,145.0,66.0
172.0,113.0,67.0,0.0,0.0,0.0,0.0,2.0,28.0,0.0,0.0,0.0,1014.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,0.0,108.0,120.0,0.0,0.0,206.0,0.0,89.0,325.0,452.0,474.0,999.0,0.0,58.0,59.0,0.0,161.0,66.0
233.0,135.0,72.0,0.0,98.0,79.0,0.0,161.0,144.0,0.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,97.0,0.0,120.0,121.0,0.0,0.0,206.0,0.0,89.0,316.0,452.0,474.0,998.0,0.0,69.0,59.0,0.0,209.0,69.0
247.0,141.0,68.0,0.0,109.0,106.0,68.0,180.0,152.0,0.0,0.0,0.0,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,0.0,122.0,120.0,0.0,0.0,206.0,0.0,89.0,363.0,452.0,474.0,999.0,0.0,61.0,62.0,0.0,266.0,64.0
253.0,143.0,70.0,0.0,1.0,87.0,3.0,154.0,9.0,0.0,0.0,0.0,1016.0,0.0,0.0,0.0,0.0,0.0,0.0,105.0,0.0,126.0,131.0,0.0,0.0,206.0,0.0,89.0,328.0,454.0,474.0,1000.0,0.0,78.0,60.0,0.0,231.0,82.0
