Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen,EDF Luminus Seraing GT1,EDF Luminus Seraing GT2,SERAING TV
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
262.0,146.0,13.0,128.0,0.0,122.0,0.0,185.0,196.0,0.0,0.0,1012.0,0.0,137.0,141.0,155.0,0.0,139.0,71.0,24.0,379.0,16.0,11.0,22.0,339.0,0.0,1.0,320.0,69.0,394.0,0.0,0.0,0.0,0.0,0.0,0.0,355.0,296.0,,,
263.0,146.0,16.0,119.0,0.0,113.0,0.0,145.0,169.0,0.0,0.0,1011.0,0.0,124.0,128.0,147.0,0.0,139.0,71.0,24.0,381.0,25.0,25.0,99.0,290.0,0.0,22.0,320.0,69.0,394.0,0.0,0.0,0.0,0.0,9.0,8.0,355.0,296.0,,,
263.0,146.0,32.0,13.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,117.0,119.0,141.0,0.0,127.0,67.0,24.0,379.0,37.0,21.0,3.0,294.0,0.0,16.0,298.0,69.0,358.0,0.0,0.0,0.0,0.0,1.0,2.0,234.0,297.0,,,
258.0,145.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,122.0,75.0,121.0,0.0,100.0,58.0,24.0,380.0,35.0,17.0,0.0,298.0,0.0,10.0,281.0,69.0,341.0,0.0,0.0,0.0,0.0,0.0,1.0,229.0,294.0,0.0,0.0,0.0
113.0,97.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0,0.0,78.0,0.0,50.0,0.0,77.0,51.0,25.0,223.0,39.0,16.0,0.0,190.0,0.0,2.0,150.0,69.0,296.0,0.0,0.0,0.0,0.0,0.0,0.0,229.0,286.0,0.0,0.0,0.0
112.0,95.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,78.0,0.0,50.0,0.0,77.0,49.0,25.0,175.0,20.0,1.0,0.0,152.0,0.0,7.0,129.0,69.0,311.0,0.0,0.0,0.0,0.0,3.0,7.0,229.0,281.0,0.0,0.0,0.0
89.0,88.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.0,0.0,78.0,0.0,50.0,0.0,61.0,42.0,24.0,175.0,9.0,13.0,0.0,150.0,0.0,32.0,130.0,69.0,277.0,0.0,0.0,0.0,0.0,14.0,22.0,229.0,292.0,0.0,0.0,0.0
141.0,104.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1014.0,0.0,78.0,0.0,50.0,0.0,73.0,48.0,24.0,356.0,31.0,32.0,0.0,174.0,0.0,62.0,197.0,69.0,304.0,0.0,0.0,0.0,0.0,23.0,38.0,230.0,293.0,0.0,0.0,0.0
194.0,120.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.0,0.0,84.0,68.0,72.0,0.0,85.0,52.0,24.0,381.0,65.0,57.0,0.0,319.0,0.0,91.0,251.0,69.0,313.0,0.0,0.0,0.0,0.0,42.0,63.0,351.0,291.0,0.0,0.0,0.0
266.0,147.0,29.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,0.0,1015.0,0.0,137.0,143.0,154.0,0.0,103.0,60.0,24.0,382.0,52.0,54.0,5.0,338.0,0.0,70.0,324.0,69.0,355.0,0.0,0.0,0.0,0.0,32.0,50.0,362.0,283.0,0.0,0.0,0.0
