Amercoeur 1 R GT,Amercoeur 1 R ST,Belwind Phase 1,COO 1 T,COO 2 T,COO 3 T,COO 4 T,COO 5 T,COO 6 T,DOEL 1,DOEL 2,DOEL 3,DOEL 4,DROGENBOS GT1,DROGENBOS GT2,DROGENBOS ST,HERDERSBRUG GT1,HERDERSBRUG GT2,HERDERSBRUG ST,INESCO WKK,Marcinelle Energie (Carsid),Nobelwind Offshore Windpark,Northwind,PLATE-TAILLE T,RINGVAART STEG,RODENHUIZE 4,Rentel Offshore WP,SAINT-GHISLAIN STEG,Scheldelaan Exxonmobil,T-power Beringen,TIHANGE 1N,TIHANGE 1S,TIHANGE 2,TIHANGE 3,Thorntonbank - C-Power - Area NE,Thorntonbank - C-Power - Area SW,Zandvliet Power,Zelzate 2 Knippegroen
Fossil Gas,Fossil Gas,Wind Offshore,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Hydro Pumped Storage,Nuclear,Nuclear,Nuclear,Nuclear,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Fossil Gas,Wind Offshore,Wind Offshore,Hydro Pumped Storage,Fossil Gas,Biomass,Wind Offshore,Fossil Gas,Fossil Gas,Fossil Gas,Nuclear,Nuclear,Nuclear,Nuclear,Wind Offshore,Wind Offshore,Fossil Gas,Fossil Gas
Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated,Actual Aggregated
277.0,151.0,98.0,0.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,106.0,116.0,0.0,302.0,13.0,163.0,267.0,94.0,334.0,459.0,485.0,0.0,0.0,49.0,85.0,0.0,139.0
278.0,152.0,96.0,0.0,0.0,0.0,0.0,0.0,159.0,0.0,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,111.0,125.0,0.0,7.0,0.0,161.0,283.0,94.0,352.0,459.0,485.0,0.0,0.0,50.0,86.0,0.0,151.0
281.0,152.0,83.0,47.0,0.0,0.0,0.0,0.0,86.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115.0,0.0,101.0,115.0,0.0,0.0,0.0,147.0,309.0,94.0,352.0,458.0,486.0,0.0,0.0,46.0,79.0,0.0,160.0
247.0,142.0,85.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,0.0,107.0,120.0,0.0,0.0,0.0,158.0,165.0,94.0,325.0,459.0,487.0,0.0,0.0,55.0,87.0,0.0,150.0
216.0,132.0,111.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,129.0,145.0,0.0,0.0,0.0,165.0,46.0,94.0,293.0,458.0,487.0,0.0,0.0,56.0,96.0,0.0,156.0
82.0,88.0,138.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,0.0,154.0,194.0,0.0,0.0,0.0,217.0,0.0,94.0,250.0,459.0,487.0,0.0,0.0,74.0,117.0,0.0,259.0
114.0,98.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109.0,0.0,77.0,135.0,0.0,0.0,0.0,227.0,0.0,94.0,304.0,459.0,487.0,0.0,0.0,83.0,129.0,0.0,283.0
129.0,103.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1011.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,96.0,136.0,0.0,0.0,0.0,166.0,0.0,94.0,328.0,456.0,483.0,0.0,0.0,56.0,93.0,0.0,293.0
121.0,101.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,66.0,83.0,0.0,0.0,0.0,90.0,0.0,94.0,316.0,456.0,483.0,0.0,0.0,29.0,48.0,0.0,276.0
121.0,100.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1012.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,0.0,37.0,44.0,0.0,0.0,0.0,55.0,0.0,94.0,316.0,456.0,483.0,0.0,0.0,17.0,29.0,0.0,276.0
